player_name,jersey,position,winner,goals_allowed,shots_against,saves,save_pct,gaa,shutout,time_on_ice,minutes_played,star_of_game,team,game_id
Emerance Maschmeyer,38,G,0,3,28,25,0.893,,0,0:59,58.8,,Scotiabank,scotiabank-vs-sonnet
Kristen Campbell,50,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,scotiabank-vs-sonnet
Nicole Hensley,29,G,1,2,21,19,0.905,,0,1:00,60.0,,Sonnet,scotiabank-vs-sonnet
Lindsay Browning,39,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,scotiabank-vs-sonnet
Geneviève Lacasse,31,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-harveys-vs-team-adidas
Ann-Renée Desbiens,35,G,0,3,24,21,0.875,,0,1:00,60.0,,Harvey's,team-harveys-vs-team-adidas
Maddie Rooney,35,G,1,2,34,32,0.941,,0,1:00,60.0,,adidas,team-harveys-vs-team-adidas
Aerin Frankel,33,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-harveys-vs-team-adidas
Aerin Frankel,33,G,0,3,21,18,0.857,,0,0:58,58.199999999999996,,adidas,team-adidas-vs-team-scotiabank
Maddie Rooney,35,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-adidas-vs-team-scotiabank
Emerance Maschmeyer,38,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-adidas-vs-team-scotiabank
Kristen Campbell,50,G,1,0,42,42,1.0,,1,1:00,60.0,1.0,Scotiabank,team-adidas-vs-team-scotiabank
Nicole Hensley,29,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-sonnet-vs-team-harveys
Lindsay Browning,39,G,0,2,35,33,0.943,,0,1:00,60.0,2.0,Sonnet,team-sonnet-vs-team-harveys
Geneviève Lacasse,31,G,1,2,34,32,0.941,,0,1:00,60.0,,Harvey's,team-sonnet-vs-team-harveys
Ann-Renée Desbiens,35,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-sonnet-vs-team-harveys
Erica Howe,27,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-sonnet-vs-team-scotiabank
Nicole Hensley,29,G,0,2,45,43,0.956,,0,0:57,57.0,,Sonnet,team-sonnet-vs-team-scotiabank
Emerance Maschmeyer,38,G,1,0,18,18,1.0,,0,0:32,31.8,5.0,Scotiabank,team-sonnet-vs-team-scotiabank
Kristen Campbell,50,G,0,1,10,9,0.9,,0,0:27,27.0,3.0,Scotiabank,team-sonnet-vs-team-scotiabank
Aerin Frankel,33,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-adidas-vs-team-harveys
Maddie Rooney,35,G,0,4,29,25,0.862,,0,1:02,61.800000000000004,,adidas,team-adidas-vs-team-harveys
Marlène Boissonnault,1,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-adidas-vs-team-harveys
Ann-Renée Desbiens,35,G,1,3,38,35,0.921,,0,1:02,61.800000000000004,,Harvey's,team-adidas-vs-team-harveys
Marlène Boissonnault,1,G,1,2,27,25,0.926,,0,1:00,60.0,,Harvey's,team-sonnet-vs-team-harveys-2
Ann-Renée Desbiens,35,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-sonnet-vs-team-harveys-2
Erica Howe,27,G,0,5,37,32,0.865,,0,0:58,58.199999999999996,,Sonnet,team-sonnet-vs-team-harveys-2
Nicole Hensley,29,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-sonnet-vs-team-harveys-2
Emerance Maschmeyer,38,G,0,4,25,21,0.84,,0,0:58,58.199999999999996,,Scotiabank,team-scotiabank-vs-team-adidas
Kristen Campbell,50,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-scotiabank-vs-team-adidas
Aerin Frankel,33,G,1,3,36,33,0.917,,0,0:59,58.8,,adidas,team-scotiabank-vs-team-adidas
Maddie Rooney,35,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-scotiabank-vs-team-adidas
Aerin Frankel,33,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-adidas-vs-team-sonnet-2
Maddie Rooney,35,G,0,4,24,20,0.833,,0,0:58,58.199999999999996,,adidas,team-adidas-vs-team-sonnet-2
Erica Howe,27,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-adidas-vs-team-sonnet-2
Nicole Hensley,29,G,1,1,35,34,0.971,,0,1:00,60.0,3.0,Sonnet,team-adidas-vs-team-sonnet-2
Marlène Boissonnault,1,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-scotiabank-vs-team-harveys
Ann-Renée Desbiens,35,G,1,1,33,32,0.97,,0,1:00,60.0,2.0,Harvey's,team-scotiabank-vs-team-harveys
Emerance Maschmeyer,38,G,0,0,15,15,1.0,,0,0:20,19.8,,Scotiabank,team-scotiabank-vs-team-harveys
Kristen Campbell,50,G,0,5,17,12,0.706,,0,0:40,40.2,,Scotiabank,team-scotiabank-vs-team-harveys
Geneviève Lacasse,31,G,1,3,22,19,0.864,,0,1:00,60.0,,Harvey's,team-harveys-vs-team-adidas-2
Ann-Renée Desbiens,35,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-harveys-vs-team-adidas-2
Shea Tiley,31,G,0,4,41,37,0.902,,0,0:59,58.8,,adidas,team-harveys-vs-team-adidas-2
Sydney Scobee,37,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-harveys-vs-team-adidas-2
Emerance Maschmeyer,38,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-scotiabank-vs-team-sonnet
Kristen Campbell,50,G,1,4,37,33,0.892,,0,1:00,60.0,2.0,Scotiabank,team-scotiabank-vs-team-sonnet
Nicole Hensley,29,G,0,5,46,41,0.891,,0,0:58,58.199999999999996,,Sonnet,team-scotiabank-vs-team-sonnet
Lindsay Browning,39,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-scotiabank-vs-team-sonnet
Emerance Maschmeyer,38,G,0,4,33,29,0.879,,0,0:56,55.800000000000004,,Scotiabank,team-scotiabank-vs-team-harveys-2
Kristen Campbell,50,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-scotiabank-vs-team-harveys-2
Geneviève Lacasse,31,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-scotiabank-vs-team-harveys-2
Ann-Renée Desbiens,35,G,1,2,38,36,0.947,,0,1:00,60.0,2.0,Harvey's,team-scotiabank-vs-team-harveys-2
Nicole Hensley,29,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-sonnet-vs-team-adidas
Lindsay Browning,39,G,0,3,20,17,0.85,,0,0:57,57.0,,Sonnet,team-sonnet-vs-team-adidas
Shea Tiley,31,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-sonnet-vs-team-adidas
Sydney Scobee,37,G,1,1,35,34,0.971,,0,1:00,60.0,,adidas,team-sonnet-vs-team-adidas
Aerin Frankel,33,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-adidas-vs-team-scotiabank-2
Maddie Rooney,35,G,1,1,35,34,0.971,,0,1:00,60.0,,adidas,team-adidas-vs-team-scotiabank-2
Amanda Makela,34,G,0,2,27,25,0.926,,0,0:57,57.0,,Scotiabank,team-adidas-vs-team-scotiabank-2
Emerance Maschmeyer,38,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-adidas-vs-team-scotiabank-2
Kristen Campbell,50,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-adidas-vs-team-scotiabank-2
Erica Howe,27,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-sonnet-vs-team-harveys-3
Nicole Hensley,29,G,0,2,36,34,0.944,,0,1:05,64.80000000000001,,Sonnet,team-sonnet-vs-team-harveys-3
Geneviève Lacasse,31,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-sonnet-vs-team-harveys-3
Ann-Renée Desbiens,35,G,1,2,26,24,0.923,,0,1:02,61.800000000000004,,Harvey's,team-sonnet-vs-team-harveys-3
Aerin Frankel,33,G,1,0,32,32,1.0,,1,1:00,60.0,1.0,adidas,team-adidas-vs-team-sonnet
Maddie Rooney,35,G,0,0,0,0,,,0,0:00,0.0,,adidas,team-adidas-vs-team-sonnet
Erica Howe,27,G,0,4,32,28,0.875,,0,0:59,58.8,3.0,Sonnet,team-adidas-vs-team-sonnet
Nicole Hensley,29,G,0,0,0,0,,,0,0:00,0.0,,Sonnet,team-adidas-vs-team-sonnet
Geneviève Lacasse,31,G,1,1,32,31,0.969,,0,1:00,60.0,1.0,Harvey's,team-harveys-vs-team-scotiabank
Ann-Renée Desbiens,35,G,0,0,0,0,,,0,0:00,0.0,,Harvey's,team-harveys-vs-team-scotiabank
Amanda Makela,34,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-harveys-vs-team-scotiabank
Emerance Maschmeyer,38,G,0,0,0,0,,,0,0:00,0.0,,Scotiabank,team-harveys-vs-team-scotiabank
Kristen Campbell,50,G,0,3,29,26,0.897,,0,0:57,57.0,,Scotiabank,team-harveys-vs-team-scotiabank
